Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t15.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditures of 66 large city governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditures of 66 large city governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
City,Fiscal year ends in month of,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construction only,Intergovernmental expenditure,City
"Albuquerque, NM",6,168310,168310,168310,-,-,163143,163143,163143,-,-,5167,5167,5167,-,-,-,-,-,-,-,-,"Albuquerque, NM"
"Anaheim, CA",6,144256,144256,143162,1094,-,136510,136510,135532,978,-,7746,7746,7630,116,-,-,-,-,-,-,-,"Anaheim, CA"
"Arlington, TX",9,100535,100535,100535,-,-,92524,92524,92524,-,-,8011,8011,8011,-,-,-,-,-,-,-,-,"Arlington, TX"
"Atlanta, GA",6,246764,246764,245304,1460,-,184108,184108,182670,1438,-,29375,29375,29353,22,-,33281,33281,33281,-,-,-,"Atlanta, GA"
"Aurora, CO",12,131080,131080,109228,21852,-,121293,121293,99441,21852,-,9787,9787,9787,-,-,-,-,-,-,-,-,"Aurora, CO"
"Austin, TX",9,359076,359076,357840,1236,-,323735,323735,322517,1218,-,35341,35341,35323,18,-,-,-,-,-,-,-,"Austin, TX"
,,,,,,,,,,,,,,,,,,,,,,,
"Bakersfield, CA",6,85516,85516,85351,165,-,85516,85516,85351,165,-,-,-,-,-,-,-,-,-,-,-,-,"Bakersfield, CA"
"Baltimore, MD",6,544659,544659,544659,-,-,493182,493182,493182,-,-,51477,51477,51477,-,-,-,-,-,-,-,-,"Baltimore, MD"
"Baton Rouge, LA",12,265224,249218,245642,3576,16006,147075,147075,145043,2032,-,61093,45087,44731,356,16006,57056,57056,55868,1188,1188,-,"Baton Rouge, LA"
"Boston, MA",6,380538,380538,374675,5863,-,374745,374745,368887,5858,-,5793,5793,5788,5,-,-,-,-,-,-,-,"Boston, MA"
"Buffalo, NY",6,87598,87598,82426,5172,-,84459,84459,79287,5172,-,3139,3139,3139,-,-,-,-,-,-,-,-,"Buffalo, NY"
"Charlotte, NC",6,253933,253501,243671,9830,432,251132,250700,240870,9830,432,2801,2801,2801,-,-,-,-,-,-,-,-,"Charlotte, NC"
,,,,,,,,,,,,,,,,,,,,,,,
"Chicago, IL",12,1427959,1427959,1414220,13739,-,1397790,1397790,1384051,13739,-,30169,30169,30169,-,-,-,-,-,-,-,-,"Chicago, IL"
"Cincinnati, OH",6,237992,237731,237334,397,261,183239,183239,182842,397,-,42775,42775,42775,-,-,11978,11717,11717,-,-,261,"Cincinnati, OH"
"Cleveland, OH",12,154312,154312,153410,902,-,148622,148622,147720,902,-,5690,5690,5690,-,-,-,-,-,-,-,-,"Cleveland, OH"
"Colorado Springs, CO",12,105269,105269,104841,428,-,96343,96343,95915,428,-,8926,8926,8926,-,-,-,-,-,-,-,-,"Colorado Springs, CO"
"Columbus, OH",12,365146,363786,359387,4399,1360,317718,317718,313385,4333,-,42816,42816,42750,66,-,4612,3252,3252,-,-,1360,"Columbus, OH"
"Corpus Christi, TX",9,91603,91569,91032,537,34,83495,83470,82933,537,25,6590,6581,6581,-,9,1518,1518,1518,-,-,-,"Corpus Christie, TX"
,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",9,426633,418650,409071,9579,7983,387960,387960,379850,8110,-,29438,29438,27969,1469,-,9235,1252,1252,-,-,7983,"Dallas, TX"
"Denver, CO",12,401071,401071,400980,91,-,231281,231281,231240,41,-,74687,74687,74687,-,-,95103,95103,95053,50,-,-,"Denver, CO"
"Detroit, MI",6,312552,312552,305793,6759,-,268090,268090,263286,4804,-,44462,44462,42507,1955,-,-,-,-,-,-,-,"Detroit, MI"
"El Paso, TX",8,137617,137617,136836,781,-,129964,129964,129964,-,-,7653,7653,6872,781,-,-,-,-,-,-,-,"El Paso, TX"
"Fort Worth, TX",8,288458,288458,280249,8209,-,265845,265845,257636,8209,-,22613,22613,22613,-,-,-,-,-,-,-,-,"Fort Worth, TX"
"Fresno, CA",6,152808,152344,147127,5217,464,148225,148225,143008,5217,-,4583,4119,4119,-,464,-,-,-,-,-,-,"Fresno, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"Honolulu, HI",6,303982,303982,290283,13699,-,275458,275458,261953,13505,-,28524,28524,28330,194,-,-,-,-,-,-,-,"Honolulu, HI"
"Houston, TX",6,735910,735910,718650,17260,-,682613,682613,665613,17000,-,53297,53297,53037,260,-,-,-,-,-,-,-,"Houston, TX"
"Indianapolis, IN",12,520443,520443,513023,7420,-,200306,200306,193706,6600,-,104343,104343,103523,820,-,215794,215794,215794,-,-,-,"Indianapolis, IN"
"Jacksonville, FL",9,436439,436439,433340,3099,-,349742,349742,346775,2967,-,32369,32369,32239,130,-,54328,54328,54326,2,-,-,"Jacksonville, FL"
"Kansas City, MO",4,237774,237774,236556,1218,-,219822,219822,218604,1218,-,17952,17952,17952,-,-,-,-,-,-,-,-,"Kansas City, MO"
"Las Vegas, NV",6,235866,99301,95436,3865,136565,146541,9976,9973,3,136565,31134,31134,31134,-,-,58191,58191,54329,3862,3566,-,"Las Vegas, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Long Beach, CA",9,204575,204575,197065,7510,-,204575,204575,197065,7510,-,-,-,-,-,-,-,-,-,-,-,-,"Long Beach, CA"
"Los Angeles, CA",6,2371191,2371191,2274327,96864,-,2238504,2238504,2141640,96864,-,132687,132687,132687,-,-,-,-,-,-,-,-,"Los Angeles, CA"
"Louisville, KY",6,196275,196275,195463,812,-,124652,124652,124451,201,-,8075,8075,8075,-,-,63548,63548,62937,611,-,-,"Louisville - Jefferson, KY"
"Memphis, TN",6,262842,262842,253310,9532,-,243879,243879,234370,9509,-,18963,18963,18940,23,-,-,-,-,-,-,-,"Memphis, TN"
"Mesa, AZ",6,208614,208614,180647,27967,-,195748,195748,167781,27967,-,12866,12866,12866,-,-,-,-,-,-,-,-,"Mesa, AZ"
"Miami, FL",9,206405,206405,202786,3619,-,199687,199687,196069,3618,-,6718,6718,6717,1,-,-,-,-,-,-,-,"Miami, FL"
,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",12,326356,326356,321907,4449,-,298514,298514,294065,4449,-,22992,22992,22992,-,-,4850,4850,4850,-,-,-,"Milwaukee, WI"
"Minneapolis, MN",12,168310,168310,168310,-,-,168310,168310,168310,-,-,-,-,-,-,-,-,-,-,-,-,-,"Minneapolis, MN"
"Nashville, TN",6,382584,382584,367997,14587,-,201647,201647,197651,3996,-,99664,99664,89508,10156,-,81273,81273,80838,435,-,-,"Nashville, TN"
"New Orleans, LA",12,254783,254783,240904,13879,-,136574,136574,136574,-,-,33216,33216,33178,38,-,84993,84993,71152,13841,8426,-,"New Orleans, LA"
"New York, NY",6,7993547,7993547,7564682,428865,-,5447937,5447937,5165387,282550,-,736455,736455,704860,31595,-,1809155,1809155,1694435,114720,94462,-,"New York, NY"
"Newark, NJ",12,147720,147720,147720,-,-,137397,137397,137397,-,-,10323,10323,10323,-,-,-,-,-,-,-,-,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"Oakland, CA",6,272414,272414,270913,1501,-,272414,272414,270913,1501,-,-,-,-,-,-,-,-,-,-,-,-,"Oakland, CA"
"Oklahoma City, OK",6,201302,201302,193140,8162,-,171202,171202,164987,6215,-,21416,21416,19699,1717,-,8684,8684,8454,230,230,-,"Oklahoma City, OK"
"Omaha, NE",12,113984,105739,101238,4501,8245,106476,101646,97217,4429,4830,4093,4093,4021,72,-,3415,-,-,-,-,3415,"Omaha, NE"
"Philadelphia, PA",6,1344796,1344796,1342339,2457,-,644646,644646,642189,2457,-,329925,329925,329925,-,-,370225,370225,370225,-,-,-,"Philadelphia, PA"
"Phoenix, AZ",6,500449,491170,479567,11603,9279,449370,449370,438281,11089,-,41800,41800,41286,514,-,9279,-,-,-,-,9279,"Phoenix, AZ"
"Pittsburgh, PA",12,78778,78778,78778,-,-,74324,74324,74324,-,-,4454,4454,4454,-,-,-,-,-,-,-,-,"Pittsburgh, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Portland, OR",6,207137,207137,196138,10999,-,196369,196369,185370,10999,-,10768,10768,10768,-,-,-,-,-,-,-,-,"Portland, OR"
"Raleigh, NC",6,136274,136274,104906,31368,-,133128,133128,101760,31368,-,3146,3146,3146,-,-,-,-,-,-,-,-,"Raleigh, NC"
"Riverside, CA",6,106316,106316,101521,4795,-,101743,101743,96948,4795,-,4573,4573,4573,-,-,-,-,-,-,-,-,"Riverside, CA"
"Sacramento, CA",6,153335,153335,152245,1090,-,153335,153335,152245,1090,-,-,-,-,-,-,-,-,-,-,-,-,"Sacramento, CA"
"San Antonio, TX",9,394233,394233,393228,1005,-,368329,368329,367431,898,-,25904,25904,25797,107,-,-,-,-,-,-,-,"San Antonio, TX"
"San Diego, CA",6,375062,375062,373538,1524,-,327627,327627,326103,1524,-,47435,47435,47435,-,-,-,-,-,-,-,-,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",6,726202,726202,720731,5471,-,432620,432620,428090,4530,-,89403,89403,89110,293,-,204179,204179,203531,648,570,-,"San Francisco, CA"
"San Jose, CA",6,242751,242751,236675,6076,-,242751,242751,236675,6076,-,-,-,-,-,-,-,-,-,-,-,-,"San Jose, CA"
"Santa Ana, CA",6,122243,122243,117359,4884,-,122243,122243,117359,4884,-,-,-,-,-,-,-,-,-,-,-,-,"Santa Ana, CA"
"Seattle, WA",12,275947,251698,248627,3071,24249,196595,195747,192676,3071,848,61994,55951,55951,-,6043,17358,-,-,-,-,17358,"Seattle, WA"
"St.Louis, MO",6,261214,261214,261214,-,-,166343,166343,166343,-,-,42075,42075,42075,-,-,52796,52796,52796,-,-,-,"St.Louis, MO"
"Tampa, FL",9,157620,157620,155385,2235,-,152955,152955,150720,2235,-,4665,4665,4665,-,-,-,-,-,-,-,-,"Tampa, FL"
,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH",12,105102,92321,92318,3,12781,81489,81489,81489,-,-,10832,10832,10829,3,-,12781,-,-,-,-,12781,"Toledo, OH"
"Tucson, AZ",6,178737,178737,178737,-,-,155897,155897,155897,-,-,22840,22840,22840,-,-,-,-,-,-,-,-,"Tucson, AZ"
"Tulsa, OK",6,108343,108343,105612,2731,-,103263,103263,100532,2731,-,5080,5080,5080,-,-,-,-,-,-,-,-,"Tulsa, OK"
"Virginia Beach, VA",6,162331,162331,162331,-,-,95179,95179,95179,-,-,19061,19061,19061,-,-,48091,48091,48091,-,-,-,"Virginia Beach, VA"
"Washington, DC",9,870775,870775,847765,23010,-,593345,593345,575909,17436,-,132515,132515,131686,829,-,144915,144915,140170,4745,2718,-,"Washington, DC"
"Wichita, KS",12,87211,87211,87211,-,-,78495,78495,78495,-,-,8716,8716,8716,-,-,-,-,-,-,-,-,"Wichita, KS"
"Note:  Fiscal years end in months between July 2015 and June 2016, except for Washington, DC, whose fiscal year ended on September 30, 2016.",,,,,,,,,,,,,,,,,,,,,,,
