Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t04.csv,,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure by character, state and type of government, fiscal 2016",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure by character, state and type of government, fiscal 2016",,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,
State and type of government,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,State and type of government
"States-local, total",233483760,233483760,225917442,7566318,-,109210078,109210078,105533731,3676347,-,46256957,46256957,44992029,1264928,-,78016725,78016725,75391682,2625043,-,"States-local, total"
State,92500365,86868791,83978104,2890687,5631574,16479609,15003016,14460467,542549,1476593,24184793,22825679,22257112,568567,1359114,51835963,49040096,47260525,1779571,2795867,State
"Local, total",147350352,146614969,141939338,4675631,735383,94216443,94207062,91073264,3133798,9381,24125765,23431278,22734917,696361,694487,29008144,28976629,28131157,845472,31515,"Local, total"
Counties,72556445,71684805,69267188,2417617,871640,29663123,29596808,28445038,1151770,66315,18467818,17767223,17163406,603817,700595,24425504,24320774,23658744,662030,104730,Counties
Municipalities,70730712,69058355,66955042,2103313,1672357,61164015,59702889,57854624,1848265,1461126,5329106,5274743,5183979,90764,54363,4237592,4080723,3916439,164284,156869,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Alabama,2335599,2335599,2259363,76236,-,1251270,1251270,1209873,41397,-,362060,362060,356029,6031,-,722269,722269,693461,28808,-,Alabama
State,914269,870057,842076,27981,44212,170514,165168,155408,9760,5346,202230,200146,197747,2399,2084,541525,504743,488921,15822,36782,State
"Local, total",1466366,1465542,1417287,48255,824,1086108,1086102,1054465,31637,6,162711,161914,158282,3632,797,217547,217526,204540,12986,21,"Local, total"
Counties,658601,644571,622962,21609,14030,372364,358334,352398,5936,14030,90688,90688,87413,3275,0,195549,195549,183151,12398,0,Counties
Municipalities,823030,820971,794325,26646,2059,728093,727768,702067,25701,325,72417,71226,70869,357,1191,22519,21977,21389,588,542,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Alaska,962214,962214,924831,37383,-,370209,370209,349861,20348,-,254000,254000,251084,2916,-,338005,338005,323886,14119,-,Alaska
State,698009,674357,657528,16829,23652,140154,117117,116547,570,23037,225412,225002,222862,2140,410,332443,332238,318119,14119,205,State
"Local, total",287857,287857,267303,20554,0,253092,253092,233314,19778,0,28998,28998,28222,776,0,5767,5767,5767,0,0,"Local, total"
Boroughs,38080,38080,32241,5839,0,24336,24336,18499,5837,0,12040,12040,12038,2,0,1704,1704,1704,0,0,Boroughs
Municipalities,249777,249777,235062,14715,0,228756,228756,214815,13941,0,16958,16958,16184,774,0,4063,4063,4063,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Arizona,4929687,4929687,4843848,85839,-,2261558,2261558,2202994,58564,-,983419,983419,977890,5529,-,1684710,1684710,1662964,21746,-,Arizona
State,1484882,1383344,1363274,20070,101538,247231,220474,212318,8156,26757,164281,127402,126995,407,36879,1073370,1035468,1023961,11507,37902,State
"Local, total",3546530,3546343,3480574,65769,187,2041176,2041084,1990676,50408,92,856017,856017,850895,5122,0,649337,649242,639003,10239,95,"Local, total"
Counties,1745780,1745326,1727987,17339,454,413224,412770,409693,3077,454,684244,684244,680155,4089,0,648312,648312,638139,10173,0,Counties
Municipalities,1824537,1801017,1752587,48430,23520,1639972,1628314,1580983,47331,11658,171773,171773,170740,1033,0,12792,930,864,66,11862,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Arkansas,1507133,1507133,1483851,23282,-,691059,691059,673566,17493,-,220343,220343,219028,1315,-,595731,595731,591257,4474,-,Arkansas
State,675546,672464,672094,370,3082,119889,118004,118002,2,1885,126343,125787,125787,0,556,429314,428673,428305,368,641,State
"Local, total",835448,834669,811757,22912,779,573055,573055,555564,17491,0,95335,94556,93241,1315,779,167058,167058,162952,4106,0,"Local, total"
Counties,366885,366533,360229,6304,352,154367,154367,153384,983,0,55018,54666,53451,1215,352,157500,157500,153394,4106,0,Counties
Municipalities,476661,468136,451528,16608,8525,419569,418688,402180,16508,881,42307,39890,39790,100,2417,14784,9558,9558,0,5226,Municipalities
,,,,,,,,,,,,,,,,,,,,,
California,41714177,41714177,40008480,1705697,-,17570133,17570133,17130713,439420,-,8675761,8675761,8275341,400420,-,15468283,15468283,14602426,865857,-,California
State,15704771,15465005,14463231,1001774,239766,1920894,1901708,1868091,33617,19186,4255402,4181175,3941455,239720,74227,9528475,9382122,8653685,728437,146353,State
