Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t09.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,,
,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
State,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay, Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construct only,Intergovernmental expenditure,State
Total,92500365,86868791,83978104,2890687,5631574,16479609,15003016,14460467,542549,1476593,24184793,22825679,22257112,568567,1359114,51835963,49040096,47260525,1779571,1210209,2795867,Total
,,,,,,,,,,,,,,,,,,,,,,
Alabama,914269,870057,842076,27981,44212,170514,165168,155408,9760,5346,202230,200146,197747,2399,2084,541525,504743,488921,15822,4007,36782,Alabama
Alaska,698009,674357,657528,16829,23652,140154,117117,116547,570,23037,225412,225002,222862,2140,410,332443,332238,318119,14119,4344,205,Alaska
Arizona,1484882,1383344,1363274,20070,101538,247231,220474,212318,8156,26757,164281,127402,126995,407,36879,1073370,1035468,1023961,11507,1146,37902,Arizona
Arkansas,675546,672464,672094,370,3082,119889,118004,118002,2,1885,126343,125787,125787,0,556,429314,428673,428305,368,368,641,Arkansas
California,15704771,15465005,14463231,1001774,239766,1920894,1901708,1868091,33617,19186,4255402,4181175,3941455,239720,74227,9528475,9382122,8653685,728437,726980,146353,California
,,,,,,,,,,,,,,,,,,,,,,
