Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t12.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 106 large county governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 106 large county governments by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,, ,,Direct expenditure,,, ,,Direct expenditure,,,, ,
County,Fiscal year ends in month of,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construction only,Intergovernmental expenditure,County
"Alameda, CA",6,640711,610377,547466,62911,30334,127774,127774,125387,2387,-,255282,224948,166145,58803,30334,257655,257655,255934,1721,-,-,"Alameda, CA"
"Allegheny, PA",12,248999,248999,247976,1023,-,60061,60061,59038,1023,-,91377,91377,91377,-,-,97561,97561,97561,-,-,-,"Allegheny, PA"
"Anne Arundel,
MD",6,210476,210476,208993,1483,-,133510,133510,132161,1349,-,31017,31017,30943,74,-,45949,45949,45889,60,-,-,"Anne Arundel,
MD"
"Arapahoe, CO",12,95485,95485,95452,33,-,45121,45121,45088,33,-,15761,15761,15761,-,-,34603,34603,34603,-,-,-,"Arapahoe, CO"
"Baltimore, MD",6,277394,277394,276285,1109,-,213255,213255,212206,1049,-,23582,23582,23571,11,-,40557,40557,40508,49,-,-,"Baltimore, MD"
"Bergen, NJ",12,118686,118686,112360,6326,-,42525,42525,36259,6266,-,32959,32959,32959,-,-,43202,43202,43142,60,60,-,"Bergen, NJ"
"Bernalillo, NM",6,127968,126885,126539,346,1083,53366,53366,53020,346,-,3333,3333,3333,-,-,71269,70186,70186,-,-,1083,"Bernalillo, NM"
,,,,,,,,,,,,,,,,,,,,,,,
"Bexar, TX",9,285718,285718,276129,9589,-,59042,59042,56355,2687,-,112025,112025,108744,3281,-,114651,114651,111030,3621,3231,-,"Bexar, TX"
"Brevard, FL",9,130770,130770,126837,3933,-,68804,68804,65316,3488,-,19622,19622,19516,106,-,42344,42344,42005,339,-,-,"Brevard, FL"
"Bristol, MA",6,307,307,307,-,-,-,-,-,-,-,307,307,307,-,-,-,-,-,-,-,-,"Bristol, MA"
"Broward, FL",9,781596,781596,699416,82180,-,434514,434514,414709,19805,-,118115,118115,59207,58908,-,228967,228967,225500,3467,-,-,"Broward, FL"
"Bucks, PA",12,173772,173772,151511,22261,-,18507,18507,18507,-,-,88266,88266,66053,22213,-,66999,66999,66951,48,-,-,"Bucks, PA"
"Camden, NJ",12,96676,96676,96676,-,-,17049,17049,17049,-,-,25815,25815,25815,-,-,53812,53812,53812,-,-,-,"Camden, NJ"
"Clark, NV",6,1112016,1112016,1094727,17289,-,658233,658233,643142,15091,-,210876,210876,209219,1657,-,242907,242907,242366,541,-,-,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Cobb, GA",9,196602,196592,194662,1930,10,140709,140699,139088,1611,10,55659,55659,55574,85,-,234,234,-,234,-,-,"Cobb, GA"
"Collin, TX",9,86505,86505,86505,-,-,20880,20880,20880,-,-,28645,28645,28645,-,-,36980,36980,36980,-,-,-,"Collin, TX"
"Contra Costa, CA",6,342926,326951,325284,1667,15975,112307,112307,111508,799,-,111022,95047,94923,124,15975,119597,119597,118853,744,-,-,"Contra Costa, CA"
"Cook, IL",11,1228033,1228033,1226497,1536,-,101768,101768,101369,399,-,610067,610067,608931,1136,-,516198,516198,516197,1,1,-,"Cook, IL"
"Cuyahoga, OH",12,356043,356043,352191,3852,-,53481,53481,52854,627,-,205689,205689,202470,3219,-,96873,96873,96867,6,-,-,"Cuyahoga, OH"
"Dade, FL",9,1029319,1029319,1004848,24471,-,582410,582410,574701,7709,-,125382,125382,115604,9778,-,321527,321527,314543,6984,-,-,"Dade, FL"
"Dallas, TX",9,328762,328762,328713,49,-,34001,34001,33977,24,-,140771,140771,140771,-,-,153990,153990,153965,25,-,-,"Dallas, TX"
,,,,,,,,,,,,,,,,,,,,,,,
"DeKalb, GA",12,251758,251758,247914,3844,-,118232,118232,117193,1039,-,76111,76111,73320,2791,-,57415,57415,57401,14,-,-,"DeKalb, GA"
"Delaware, PA",12,134974,134974,134937,37,-,22000,22000,22000,-,-,46140,46140,46140,-,-,66834,66834,66797,37,-,-,"Delaware, PA"
"Denton, TX",9,134203,134203,105097,29106,-,30875,30875,25539,5336,-,35101,35101,35070,31,-,68227,68227,44488,23739,23739,-,"Denton, TX"
"Douglas, NE",6,88913,88913,88668,245,-,16933,16933,16688,245,-,26203,26203,26203,-,-,45777,45777,45777,-,-,-,"Douglas, NE"
"Du Page, IL",11,99463,99463,99396,67,-,49240,49240,49173,67,-,39041,39041,39041,-,-,11182,11182,11182,-,-,-,"Du Page, IL"
"El Paso, CO",12,100421,100421,100421,-,-,74997,74997,74997,-,-,18638,18638,18638,-,-,6786,6786,6786,-,-,-,"El Paso, CO"
"El Paso, TX",9,225863,225863,199614,26249,-,71826,71826,45764,26062,-,67545,67545,67464,81,-,86492,86492,86386,106,42,-,"El Paso, TX"
,,,,,,,,,,,,,,,,,,,,,,,
"Erie, NY",12,193338,193338,188880,4458,-,37378,37378,33668,3710,-,37024,37024,36957,67,-,118936,118936,118255,681,-,-,"Erie, NY"
"Essex, NJ",12,191429,191429,191309,120,-,42438,42438,42402,36,-,37406,37406,37394,12,-,111585,111585,111513,72,-,-,"Essex, NJ"
"Fairfax, VA",6,389519,389519,319164,70355,-,279627,279627,209272,70355,-,66909,66909,66909,-,-,42983,42983,42983,-,-,-,"Fairfax, VA"
"Fort Bend, TX",9,127733,127733,125310,2423,-,42783,42783,40864,1919,-,32785,32785,32391,394,-,52165,52165,52055,110,-,-,"Fort Bend, TX"
"Franklin, OH",6,443383,443383,439045,4338,-,282721,282721,279683,3038,-,102641,102641,101341,1300,-,58021,58021,58021,-,-,-,"Franklin, OH"
"Fresno, CA",6,320814,306424,296880,9544,14390,81125,81125,75686,5439,-,89631,75241,71136,4105,14390,150058,150058,150058,-,-,-,"Fresno, CA"
"Fulton, GA",12,247322,247322,242360,4962,-,51249,51249,50741,508,-,121614,121614,121492,122,-,74459,74459,70127,4332,-,-,"Fulton, GA"
,,,,,,,,,,,,,,,,,,,,,,,
"Gwinnett, GA",12,256333,256333,243643,12690,-,137375,137375,126097,11278,-,62132,62132,61214,918,-,56826,56826,56332,494,-,-,"Gwinnett, GA"
