Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2016",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2016",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Population 2016 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
"States-local, total",323071,3514583394,233483760,6.6,109210078,46.8,46256957,19.8,78016725,33.4
State,-,1692408177,86868791,5.1,15003016,17.3,22825679,26.3,49040096,56.5
"Local, total",-,1822175217,146614969,8,94207062,64.3,23431278,16,28976629,19.8
