Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee16t14.csv,,,,,,,,,,,
"Table 14. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 106 large county governments, March 2016",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,
,,,,,,,,,,,
"Table 14. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 106 large county governments, March 2016",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,Sworn,,,,,,Nonsworn,,,,
,Numbers of employees,,Full-time equivalent employment,,,,Numbers of employees,,Full-time equivalent employment,,
County,Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls
"Alameda, CA",955,955,955,56.9,11256,11786,734,712,723,43.1,4062
"Allegheny, PA",483,483,483,84,2752,5698,92,92,92,16,449
"Anne Arundel, MD",662,662,662,75.2,4647,7020,219,214,218,24.8,1117
"Arapahoe, CO",349,349,349,73.6,2548,7301,125,125,125,26.4,638
"Baltimore, MD",1930,1930,1930,76.5,12807,6636,830,477,592,23.5,1632
"Bergen, NJ",158,158,158,66.7,1442,9129,84,74,79,33.3,450
"Bernalillo, NM",310,310,310,74.2,1894,6110,127,87,108,25.8,312
,,,,,,,,,,,
"Bexar, TX",744,730,739,83,3378,4588,154,148,151,17,731
"Brevard, FL",464,463,463,60.2,2250,4857,357,292,306,39.8,1101
"Bristol, MA",0,0,0,0,0,-,0,0,0,0,0
"Broward, FL",1366,1366,1366,52.8,11957,8753,1224,1199,1221,47.2,6196
"Bucks, PA",26,26,26,19.1,203,7790,119,103,110,80.9,526
"Camden, NJ",678,640,662,85.1,4056,6225,116,115,116,14.9,397
"Clark, NV",2540,2540,2540,60.3,21332,8398,1772,1637,1669,39.7,9117
,,,,,,,,,,,
"Cobb, GA",609,606,608,72.8,3125,5151,307,201,227,27.2,936
"Collin, TX",131,131,131,75.7,726,5544,42,42,42,24.3,182
"Contra Costa, CA",649,649,649,66.9,6152,9479,324,319,321,33.1,1847
"Cook, IL",470,470,470,61.8,4459,9486,310,285,290,38.2,1320
"Cuyahoga, OH",142,142,142,22.8,562,3958,481,481,481,77.2,2270
"Dade, FL",3052,3044,3052,72.3,23770,7801,1426,935,1169,27.7,6109
"Dallas, TX",318,297,308,40.4,1513,5002,456,451,454,59.6,2306
,,,,,,,,,,,
"DeKalb, GA",1021,1019,1020,88.8,4409,4323,129,127,129,11.2,453
"Delaware, PA",0,0,0,0,0,-,0,0,0,0,0
"Denton, TX",202,202,202,86,1029,5095,33,33,33,14,136
"Douglas, NE",126,126,126,69.2,697,5533,64,47,56,30.8,228
"Du Page, IL",228,228,228,65.5,1825,8006,128,110,120,34.5,509
"El Paso, CO",474,474,474,71.4,2781,5866,196,183,190,28.6,1043
"El Paso, TX",296,295,296,62.7,1914,6483,176,176,176,37.3,659
,,,,,,,,,,,
"Erie, NY",205,195,200,74.6,1304,6610,73,66,68,25.4,335
"Essex, NJ",355,355,355,82.4,2898,8164,77,76,76,17.6,324
"Fairfax, VA",1389,1387,1389,82.1,11758,8473,350,262,303,17.9,1689
"Fort Bend, TX",391,391,391,79,1826,4669,104,104,104,21,373
"Franklin, OH",378,378,378,71.1,2609,6902,158,152,154,28.9,701
"Fresno, CA",486,486,486,72.9,2979,6130,183,179,181,27.1,811
"Fulton, GA",121,121,121,67.6,570,4707,58,58,58,32.4,204
,,,,,,,,,,,
"Gwinnett, GA",725,725,725,82.4,3395,4682,157,152,155,17.6,693
"Hamilton, OH",158,158,158,56.4,969,6134,131,117,122,43.6,640
"Harris, TX",2819,2655,2762,43.1,12179,4450,3652,3652,3652,56.9,16261
"Hennepin, MN",348,348,348,51.9,2407,6916,331,311,323,48.1,1741
"Hidalgo, TX",323,323,323,100,1871,5791,0,0,0,0,0
"Hillsborough, FL",1227,1227,1227,65.2,7806,6362,891,626,655,34.8,2633
"Hudson, NJ",301,301,301,78.4,1365,4534,96,73,83,21.6,238
,,,,,,,,,,,
"Jackson, MO",98,98,98,68.1,421,4295,52,40,46,31.9,93
"Jefferson, AL",356,356,356,96,2001,5621,15,15,15,4,102
"Jefferson, CO",298,297,298,69,1972,6628,137,129,134,31,711
"Johnson, KS",178,175,177,74.1,1115,6296,65,61,62,25.9,264
"Kane, IL",115,115,115,92.7,761,6621,12,8,9,7.3,50
"Kent, MI",237,232,234,82.7,1563,6705,51,49,49,17.3,230
"Kern, CA",915,853,914,74.2,6838,7840,318,318,318,25.8,1381
,,,,,,,,,,,
"King, WA",582,582,582,53.7,5425,9321,505,496,501,46.3,3803
"Lake, IL",178,178,178,68.7,1468,8245,96,59,81,31.3,386
"Lake, IN",145,145,145,57.3,723,4989,109,107,108,42.7,313
"Lancaster, PA",75,66,70,93.3,256,3706,5,5,5,6.7,24
"Lee, FL",600,597,598,56.4,3644,6094,465,461,462,43.6,1922
"Los Angeles, CA",6496,6298,6369,68.2,53074,8361,3020,2929,2969,31.8,24409
"Macomb, MI",340,261,290,94.2,1584,5808,18,18,18,5.8,78
,,,,,,,,,,,
"Maricopa, AZ",2551,2510,2529,80,13381,5300,638,630,632,20,3381
"Mecklenburg, NC",285,284,285,59.9,1363,4794,192,182,191,40.1,913
"Middlesex, NJ",145,145,145,78,1054,7271,41,41,41,22,201
"Milwaukee, WI",336,330,332,82.4,1936,5843,71,71,71,17.6,445
"Monmouth, NJ",109,109,109,66.5,1020,9356,84,42,55,33.5,219
"Monroe, NY",266,226,245,40.7,1500,6342,385,347,357,59.3,1657
"Montgomery, MD",1537,1450,1488,74.9,11031,7512,548,465,498,25.1,3067
,,,,,,,,,,,
"Montgomery, OH",214,203,208,42.6,1264,6139,280,280,280,57.4,1242
"Montgomery, PA",143,122,127,43.8,461,3642,166,158,163,56.2,779
"Multnomah, OR",95,93,94,36.4,782,8362,172,157,164,63.6,805
"Nassau, NY",2334,2334,2334,69,19265,8254,1206,767,1047,31,5651
"New Castle, DE",393,393,393,76.5,2661,6772,180,34,121,23.5,343
"Norfolk, MA",0,0,0,0,0,-,0,0,0,0,0
"Oakland, MI",404,395,399,66.3,2408,5997,241,175,203,33.7,921
"Ocean, NJ",212,208,209,71.8,1468,7032,89,80,82,28.2,342
,,,,,,,,,,,
"Oklahoma, OK",194,194,194,67.4,612,3157,94,94,94,32.6,254
"Orange, CA",3525,3410,3468,95.7,26980,7829,162,155,157,4.3,928
"Orange, FL",1511,1482,1508,69.8,7767,5186,843,559,651,30.2,2795
"Palm Beach, FL",1394,1384,1392,58.6,12812,9230,1219,892,982,41.4,5862
"Passaic, NJ",146,141,145,100,832,5799,0,0,0,0,0
"Pierce, WA",290,290,290,60.3,2325,8016,191,191,191,39.7,1253
"Pima, AZ",701,701,701,75.5,3576,5102,227,226,227,24.5,836
,,,,,,,,,,,
"Pinellas, FL",672,671,672,54.5,4321,6433,667,515,562,45.5,2550
"Polk, FL",628,627,628,54.9,3092,4927,647,424,516,45.1,1646
"Prince Georges, MD",1638,1521,1597,61.9,10465,6738,983,962,983,38.1,6575
"Riverside, CA",2288,2275,2282,95.9,21325,9350,98,98,98,4.1,743
"Sacramento, CA",1063,1063,1063,72,10582,9955,438,400,414,28,2867
"Salt Lake, UT",425,425,425,63,2357,5545,464,162,250,37,809
"San Bernardino, CA",1228,1197,1211,61.4,10160,8420,780,744,761,38.6,3811
,,,,,,,,,,,
"San Diego, CA",1142,1116,1147,41.6,8781,7704,1611,1570,1610,58.4,7044
"San Joaquin, CA",227,224,226,62.3,2436,10839,149,117,137,37.7,821
"San Mateo, CA",337,322,329,82,3836,11717,73,66,72,18,468
"Santa Clara, CA",449,449,449,62.4,5138,11444,340,224,271,37.6,1884
"Shelby, TN",464,451,458,61.1,2191,4807,313,277,291,38.9,1056
"Snohomish, WA",286,286,286,79,2017,7051,76,75,76,21,437
"St. Louis, MO",951,939,944,82,4813,5104,212,203,207,18,915
,,,,,,,,,,,
"Stanislaus, CA",576,511,548,86.2,3875,7251,98,79,88,13.8,456
"Suffolk, NY",2394,2394,2394,77.3,27264,11388,979,519,702,22.7,3693
"Summit, OH",189,182,187,85.4,881,4757,34,31,32,14.6,102
"Tarrant, TX",241,234,238,51.2,1215,5136,230,226,227,48.8,1349
"Travis, TX",821,821,821,98.8,4190,5104,10,10,10,1.2,40
"Tulsa, OK",251,251,251,39.5,818,3257,392,377,385,60.5,1243
"Union, NJ",322,308,314,61.8,1983,6383,202,186,194,38.2,1081
,,,,,,,,,,,
"Utah, UT",139,119,125,84.5,693,5674,24,21,23,15.5,85
"Ventura, CA",530,503,515,69,5946,11736,245,219,231,31,1786
"Wake, NC",375,375,375,76.8,2091,5576,114,113,113,23.2,615
"Washington, OR",341,341,341,60,2365,6935,242,153,227,40,1387
"Wayne, MI",239,239,239,94.8,1316,5505,13,13,13,5.2,74
"Westchester, NY",286,286,286,67.9,3433,12005,139,131,135,32.1,838
"Will, IL",303,285,294,74.8,1851,6363,102,95,99,25.2,611
Note: Payroll data shown here may not sum to equal police protection March payroll data in table 13 due to rounding.,,,,,,,,,,,
