Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t11.csv,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2016",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2016",,,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,
State,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees Full-time equivalent (dollars),
Total,727269,707321,717774,3637242,5072,103282,100361,101421,623297,6163,179223,170762,175205,991258,5682,444764,436198,441148,2022687,4582,Total
,,,,,,,,,,,,,,,,,,,,,
Alabama,9134,8580,8903,37020,4177,1303,1284,1291,5148,3987,3167,2855,3048,14292,4777,4664,4441,4564,17580,3847,Alabama
Alaska,4360,4228,4287,27090,6357,683,640,650,4290,6649,1406,1366,1382,9242,6709,2271,2222,2255,13558,6056,Alaska
Arizona,14079,13952,14009,56542,4028,1963,1919,1932,9973,5163,2416,2346,2383,11654,4868,9700,9687,9694,34915,3600,Arizona
Arkansas,8453,8292,8372,29185,3465,1223,1207,1214,4697,3877,1667,1528,1599,6464,3949,5563,5557,5559,18024,3242,Arkansas
California,75822,73341,74779,550815,7394,11444,11176,11216,94064,8398,6569,6127,6329,44374,7061,57809,56038,57234,412377,7230,California
,,,,,,,,,,,,,,,,,,,,,
Colorado,13878,13317,13770,67854,4984,1274,1257,1265,7559,5981,5191,4702,5096,28588,5816,7413,7358,7409,31707,4281,Colorado
Connecticut,14197,13574,13725,77831,5640,2142,1905,1938,14229,7381,6221,5904,5988,29355,4826,5834,5765,5799,34247,5897,Connecticut
Delaware,5879,5778,5843,28123,4836,1100,1088,1095,7277,6665,1835,1786,1818,8543,4730,2944,2904,2930,12303,4216,Delaware
Florida,48022,46826,47381,169732,3584,4410,4098,4206,16616,3940,19872,19181,19544,81600,4190,23740,23547,23631,71516,3028,Florida
Georgia,22783,21832,22298,72201,3221,2625,2559,2593,10218,3959,3571,3481,3521,16032,4559,16587,15792,16184,45951,2807,Georgia
,,,,,,,,,,,,,,,,,,,,,
Hawaii,5062,4991,5019,25222,5012,0,0,0,0,-,2701,2639,2663,13112,4908,2361,2352,2356,12110,5129,Hawaii
Idaho,3502,3411,3450,20560,5962,500,482,490,2456,5044,586,533,553,5216,9481,2416,2396,2407,12888,5364,Idaho
Illinois,17929,17879,17904,120063,6705,3071,3050,3059,22593,7387,2534,2505,2521,23030,9145,12324,12324,12324,74440,6040,Illinois
Indiana,9317,9236,9270,35253,3806,1844,1844,1844,8053,4367,1528,1458,1484,9674,6573,5945,5934,5942,17526,2951,Indiana
Iowa,5997,5789,5929,33114,5602,884,878,881,5814,6607,2287,2209,2263,12870,5719,2826,2702,2785,14430,5179,Iowa
,,,,,,,,,,,,,,,,,,,,,
Kansas,6688,6508,6588,24727,3760,1084,1015,1047,4829,4656,2167,2073,2112,9128,4342,3437,3420,3429,10770,3142,Kansas
Kentucky,12008,11769,11896,40812,3438,2069,2061,2064,7915,3837,5861,5637,5758,20016,3492,4078,4071,4074,12881,3162,Kentucky
Louisiana,9240,9029,9140,43105,4729,1805,1748,1791,12875,7252,1676,1636,1647,7622,4625,5759,5645,5702,22608,3978,Louisiana
Maine,2425,2205,2351,11041,4707,430,428,429,2523,5890,795,672,747,3765,5113,1200,1105,1175,4753,4002,Maine
Maryland,19505,18570,19344,102219,5370,2229,2229,2229,14030,6294,5320,4891,5233,30671,6040,11956,11450,11882,57518,4903,Maryland
,,,,,,,,,,,,,,,,,,,,,
Massachusetts,24595,24142,24300,152574,6254,2941,2911,2926,26485,9058,9443,9180,9275,57547,6164,12211,12051,12099,68542,5646,Massachusetts
Michigan,16828,16607,16756,89640,5340,2740,2716,2729,15030,5508,1478,1424,1459,10451,7210,12610,12467,12568,64159,5090,Michigan
Minnesota,9339,8707,9141,47652,5216,962,934,951,4862,5138,4018,3564,3841,21879,5679,4359,4209,4349,20911,4841,Minnesota
Mississippi,4375,4358,4373,14395,3295,1242,1240,1242,4894,3944,470,470,470,2594,5520,2663,2648,2661,6907,2596,Mississippi
Missouri,19045,18444,18758,60427,3236,2574,2443,2510,10999,4439,4302,3966,4162,16769,4114,12169,12035,12086,32659,2703,Missouri
,,,,,,,,,,,,,,,,,,,,,
Montana,2549,2368,2459,11031,4503,503,486,495,2383,4837,776,704,746,3852,5220,1270,1178,1218,4796,3937,Montana
Nebraska,4484,4388,4433,18721,4238,759,733,744,3631,4900,798,777,784,4240,5439,2927,2878,2905,10850,3745,Nebraska
Nevada,5262,5204,5221,27367,5231,834,826,830,5543,6692,714,702,705,5050,7158,3714,3676,3686,16774,4535,Nevada
New Hampshire,2530,2153,2334,12450,5403,552,489,517,2870,5692,913,659,765,4046,5239,1065,1005,1052,5534,5369,New Hampshire
New Jersey,25192,24978,25084,159564,6370,3925,3878,3900,29291,7526,12785,12630,12707,80058,6315,8482,8470,8477,50215,5925,New Jersey
,,,,,,,,,,,,,,,,,,,,,
New Mexico,7697,7594,7649,32004,4187,665,665,665,3267,4913,3238,3161,3198,14944,4681,3794,3768,3786,13793,3644,New Mexico
New York,53582,52787,53298,374245,7039,5979,5855,5927,52840,8999,18871,18454,18757,140023,7495,28732,28478,28614,181382,6341,New York
North Carolina,30562,30092,30117,116541,3861,3185,3179,3180,15014,4719,6927,6474,6492,31702,4847,20450,20439,20445,69825,3415,North Carolina
North Dakota,1872,1720,1778,8991,5052,200,197,198,1156,5837,711,650,664,3853,5837,961,873,916,3982,4290,North Dakota
Ohio,19069,18596,18869,93729,4956,2605,2594,2599,14195,5457,3266,2819,3080,19386,6350,13198,13183,13190,60148,4559,Ohio
,,,,,,,,,,,,,,,,,,,,,
Oklahoma,9677,9475,9573,38659,4044,2000,1941,1969,10226,5222,2853,2754,2803,13372,4801,4824,4780,4801,15061,3130,Oklahoma
Oregon,10047,9570,9780,52302,5352,1573,1379,1438,7980,5597,3139,2985,3082,16776,5450,5335,5206,5260,27546,5231,Oregon
Pennsylvania,28046,27115,27477,158012,5715,6974,6599,6719,43119,6366,3019,2999,3009,28372,9437,18053,17517,17749,86521,4832,Pennsylvania
Rhode Island,2989,2960,2974,20309,6839,350,350,350,2738,7823,1186,1163,1176,7281,6216,1453,1447,1448,10290,7101,Rhode Island
South Carolina,10614,10491,10563,35388,3346,2098,2059,2083,8171,3929,891,876,884,4515,5127,7625,7556,7596,22702,2980,South Carolina
,,,,,,,,,,,,,,,,,,,,,
South Dakota,1850,1718,1787,7912,4483,356,343,350,1551,4435,695,607,656,3313,5214,799,768,781,3048,3925,South Dakota
Tennessee,11269,11212,11234,44615,3972,1783,1776,1780,8578,4824,2553,2518,2527,14444,5719,6933,6918,6927,21593,3118,Tennessee
Texas,53675,52788,53321,217313,4074,7094,7035,7065,48629,6903,5809,5569,5782,32785,5660,40772,40184,40474,135899,3359,Texas
Utah,5974,5497,5713,24105,4274,980,865,899,3843,4311,1618,1485,1556,8214,5368,3376,3147,3258,12048,3748,Utah
Vermont,2432,2338,2356,12195,5189,650,585,598,3532,5967,699,674,678,3550,5238,1083,1079,1080,5113,4736,Vermont
,,,,,,,,,,,,,,,,,,,,,
Virginia,21173,20311,20695,82890,4012,3264,3126,3199,15770,4962,4095,3758,3845,19685,5120,13814,13427,13651,47435,3481,Virginia
Washington,12908,12307,12599,60771,4818,2172,2098,2112,11299,5314,2058,2019,2035,12686,6242,8678,8190,8452,36786,4340,Washington
West Virginia,6309,6227,6275,21043,3358,1058,1033,1042,4287,4123,1698,1655,1683,7714,4610,3553,3539,3550,9042,2549,West Virginia
Wisconsin,12938,12012,12510,60627,4803,899,876,888,4530,5128,2264,2020,2146,13734,6465,9775,9116,9476,42363,4403,Wisconsin
Wyoming,2107,2055,2089,9258,4396,282,282,282,1425,5052,566,517,549,3173,5715,1259,1256,1258,4660,3706,Wyoming
,,,,,,,,,,,,,,,,,,,,,
Note: These data are based on a summation of responses from individual state agencies. Some agency data may be for a prior reporting period.,,,,,,,,,,,,,,,,,,,,,
